_id,HelpComSummary
67299dbda23f7e5639814e0e,"Tests that the internal HTTP request is correctly generated and executed."
67299dbda23f7e5639814e0f,"Handles a definitive failure by tracking the exception and notifying the response listener."
67299dbda23f7e5639814e10,"Updates the current exception and adds the previous exception as a suppressed exception."
67299dbda23f7e5639814e11,"Returns a Settings object containing an Authorization token for basic authentication with admin credentials."
67299dbda23f7e5639814e12,"Runs the provided script and returns the result."
67299dbda23f7e5639814e13,"Runs a container for the given distribution with default DockerRun settings."
67299dbda23f7e5639814e14,"Runs an Elasticsearch container using the provided distribution and Docker run configuration, waits for it to start, and returns an Installation object representing the running container."
67299dbda23f7e5639814e15,"Returns an iterable of test parameters by delegating to {@link #createParameters(NamedXContentRegistry, String[], Map)} with a null map for yaml parameters."
67299dbda23f7e5639814e16,"Starts initializing shards and rerouting for the provided routing node."
67299dbda23f7e5639814e17,"Connects to a discovery node using the provided transport service."
67299dbda23f7e5639814e18,"stop a random data node in the cluster. Returns true if successful, false otherwise. The operation is thread-safe and throws an IOException if an error occurs during the stopping process."
67299dbda23f7e5639814e19,"Sets up a mock TransportService with a ThreadPoolExecutor, configuring it to return a direct executor service for both the generic and any string-based executors."
67299dbda23f7e5639814e1a,"Renames the `rewriteQuery` method to better describe its purpose. Rewrites a given query builder within the context of a search execution and ensures it is serializable before returning it."
67299dbda23f7e5639814e1b,"Asserts that the provided code block is busy by attempting to execute it with an exponential backoff strategy for a maximum of 10 seconds."
67299dbda23f7e5639814e1c,"Returns a string representation of the port range used by the current worker."
67299dbda23f7e5639814e1d,"Returns a SecureRandom instance seeded with a 32-byte array for use in FIPS mode, potentially resulting in non-deterministic behavior."
67299dbda23f7e5639814e1e,"Creates an IndexService for the given index."
67299dbda23f7e5639814e1f,"Adds an unresponsive rule for all transport addresses associated with the given `transportService` for a specified duration."
67299dbda23f7e5639814e20,"Ensures that the given InternalTestCluster is in a healthy state, verifying its node count and connectivity."
67299dbda23f7e5639814e21,"Waits until all pending tasks, excluding the list task itself and any expected outstanding tasks, have completed."
67299dbda23f7e5639814e22,"Checks if the feature states can be reset in the current cluster."
67299dbda23f7e5639814e23,"Returns the settings for REST admin requests."
67299dbda23f7e5639814e24,"Updates the cluster settings with the provided settings."
67299dbda23f7e5639814e25,"Dispatches a REST request through the controller."
67299dbda23f7e5639814e26,"Looks up a binary method handle based on the types of two classes and an operator name, applying type promotion rules to determine the most suitable method handle."
67299dbda23f7e5639814e27,"Returns a method handle that normalizes the index of an object in the specified receiver class, handling arrays, maps, and lists."
67299dbda23f7e5639814e28,"Finds the first non-null result of applying a given function to each element in a collection."
67299dbda23f7e5639814e29,"Visits the given expression node in the semantic scope and checks if it has a valid value type; throws an exception if the symbol cannot be resolved or if the type is unexpected."
67299dbda23f7e5639814e2a,"Adds an additional field to the map if the specified property is contained in the properties list and the value has length."
67299dbda23f7e5639814e2b,"Sets whether unmapped fields should be ignored and returns the current instance for chaining."
67299dbda23f7e5639814e2c,"Tests that decoding and then re-encoding a scaled float value using `ScaledFloatFieldMapper` results in the original encoded value, ensuring round-trip consistency."
67299dbda23f7e5639814e2d,"Stops the APM server, releasing any held resources and setting the instance to null after a brief delay."
67299dbda23f7e5639814e2e,"Deletes a file or directory at the specified path with retry in case of temporary failure, wrapping any interrupted exceptions into an IOException."
67299dbda23f7e5639814e2f,"Synchronizes the files and directories in the source root with the destination root by creating hard links."
67299dbda23f7e5639814e30,"Registers a client with a randomly generated client ID and redirect URI."
67299dbda23f7e5639814e31,"Pauses the execution of tasks and cancels any queued tasks, logging the reason for pausing and the number of cancelled tasks."
67299dbda23f7e5639814e32,"Clears the allocation IDs and returns whether any IDs were previously allocated."
67299dbda23f7e5639814e33,"Handles post-indexing operation for a shard, logging an error if indexing fails and the index is designated as a watch document."
67299dbda23f7e5639814e34,"Pre-delete operation that checks if the document being deleted is a watch document and removes it from the trigger service if so."
67299dbda23f7e5639814e35,"Filters the provided settings to only include settable settings as defined by `UpdateWatcherSettingsAction.ALLOWED_SETTING_KEYS`. Returns a new `Settings` object containing these filtered settings."
67299dbda23f7e5639814e36,"Registers a new execution with the given ID if it does not already exist, throwing an exception if executions are sealed."
67299dbda23f7e5639814e37,"Pauses the execution and clears the queue, invoking the provided stopped listener and returning the number of cancelled tasks."
67299dbda23f7e5639814e38,"Clears the current executions and queue, invoking a provided listener when all stopped tasks have completed. Returns the number of cancelled tasks in the queue."
67299dbda23f7e5639814e39,"Creates a pair of triggered watches and their corresponding execution contexts based on the provided trigger events."
67299dbda23f7e5639814e3a,"Clears the current executions and seals them, waiting for any remaining executions to complete before running a provided stopped listener."
67299dbda23f7e5639814e3b,"Retrieves the concrete index metadata for a given index name from the provided metadata."
67299dbda23f7e5639814e3c,"Checks if the given time is after or at the previously scheduled time and returns the previous scheduled time, updating the scheduled time to the next scheduled time based on the provided schedule. Returns -1 if the given time is before the previously scheduled time."
67299dbda23f7e5639814e3d,"Removes the value associated with the given key from the source map and returns it as an instance of the specified type."
67299dbda23f7e5639814e3e,"Moves the model ID from task settings to service settings if it does not already exist in the service settings."
67299dbda23f7e5639814e3f,"Positions the XContentParser at the token after a specified field, throwing an exception if the field is not found."
67299dbda23f7e5639814e40,"Calculates the time required to reserve a specified number of tokens, returning the result as a TimeValue object in microseconds."
67299dbda23f7e5639814e41,"Reserves a specified number of tokens and returns the time value representing the duration to wait before the reserved tokens become available."
67299dbda23f7e5639814e42,"Tests that the shard status is complete after shutting down a non-data node."
67299dbda23f7e5639814e43,"Synchronously renews a retention lease, returning an empty Optional if successful or an Optional containing a RetentionLeaseNotFoundException if the lease is not found."
67299dbda23f7e5639814e44,"Validates that the leader index settings and follower index settings are identical after removing allowed differences. Throws an IllegalArgumentException if the settings do not match."
67299dbda23f7e5639814e45,"Returns a view of the given list of values based on the current offset and limit."
67299dbda23f7e5639814e46,"Checks if there are any completion candidates following the specified stage."
67299dbda23f7e5639814e47,"Returns the substring of {@code string} that is between the first occurrence of {@code left} and the first or last occurrence of {@code right}, depending on whether {@code greedy} is true. The search for {@code left} and {@code right} can be case sensitive or insensitive, depending on the value of {@code caseInsensitive}."
67299dbda23f7e5639814e48,"Marks a policy retrieval error in the step info for the given index and records the exception."
67299dbda23f7e5639814e49,"Asynchronously records an ILM history item for indexing if lifecycle history is enabled."
67299dbda23f7e5639814e4a,"Finds the best rollup jobs for a given aggregation source and set of job caps."
67299dbda23f7e5639814e4b,"Freezes the clock at the current time, preventing further automatic updates."
67299dbda23f7e5639814e4c,"Unfreezes the clock, resuming its normal operation with the system's default zone."
67299dbda23f7e5639814e4d,"Fast forwards the current time by the specified number of seconds."
67299dbda23f7e5639814e4e,"Rewinds the current time by a specified number of seconds."
67299dbda23f7e5639814e4f,"Checks if the current license status is active by verifying whether it has started or is relocating."
67299dbda23f7e5639814e50,"Checks if the current licensed feature is allowed in the given license state and starts usage tracking if permitted."
67299dbda23f7e5639814e51,"Checks if the current licensed feature is allowed without tracking, based on the provided XPack license state."
67299dbda23f7e5639814e52,"Checks if a condition has been met and updates the last checked timestamp, potentially resetting acknowledgement status for associated actions."
67299dbda23f7e5639814e53,"Creates a Rounding instance with the specified interval and time zone."
67299dbda23f7e5639814e54,"Checks if the provided string expression is valid by attempting to validate it and catching any IllegalArgumentExceptions that may be thrown during validation, returning true if successful and false otherwise."
67299dbda23f7e5639814e55,"Creates a response document in the index with the provided id and headers."
67299dbda23f7e5639814e56,"Retrieves a response for the given asynchronous execution ID and passes it to the provided listener."
67299dbda23f7e5639814e57,"Sets the internal user for the current thread context."
67299dbda23f7e5639814e58,"Checks if the provided action is allowed based on the groups' permissions, including mapping updates for BWC."
67299dbda23f7e5639814e59,"Validates that the provided application name is non-empty and follows specific naming conventions, throwing an exception if it does not meet these requirements. This method does not allow wildcard characters in the application name."
67299dbda23f7e5639814e5a,"Verifies a given `SecureString` data against a provided hashed value, utilizing the appropriate hashing algorithm based on the prefix of the hash."
67299dbda23f7e5639814e5b,"Writes the provided authentication object to the given ThreadContext, ensuring that it does not already contain an authentication. The authentication is stored both as a transient and as a header in the context, with its encoded form being used for the latter."
67299dbda23f7e5639814e5c,"Generates a salt string for use with the bcrypt password hashing algorithm."
67299dbda23f7e5639814e5d,"Generates a salt string with the default number of log rounds."
67299dbda23f7e5639814e5e,"Returns whether the align checkpoints feature is disabled based on the provided settings configuration."
67299dbda23f7e5639814e5f,"Creates a BitSet mask where each set bit at index `i` indicates that the field at position `i` is either null or shorter than the specified long field threshold across all rows."
67299dbda23f7e5639814e60,"Calculates the Levenshtein distance between two rows of strings, comparing all fields."
67299dbda23f7e5639814e61,"Calculates the weights of matched formats based on the matches found."
67299dbda23f7e5639814e62,"Determines whether a given sample can be considered text based on the presence of newlines and non-blank lines, providing an explanation for the decision."
67299dbda23f7e5639814e63,"Replaces matching expressions in a target list with replacements generated by a given replacer function. The replacement process is based on semantic equality between the target and pattern expressions. Returns true if any replacements were made, indicating that the original list has been modified."
67299dbda23f7e5639814e64,"Combines a list of query builders into a single query builder using the provided clause, handling null queries and lazy initialization of the root bool query."
67299dbda23f7e5639814e65,"Returns the given unsigned long as a Number."
67299dbda23f7e5639814e66,"Counts the number of repeated coordinates at the end of an array, where repetition is defined as having identical integer values for x and y ordinates."
67299dbda23f7e5639814e67,"Adjusts the circuit breaker by a given delta value. If the delta is positive, it checks if adding this amount would exceed the maximum allowed bytes and potentially trips the circuit breaker; otherwise, it simply adds the delta."
67299dbda23f7e5639814e68,"Returns the middle value of an ascending sequence of integers in the given block."
67299dbda23f7e5639814e69,"Checks if the provided rounding strategy will not exceed a predefined range of buckets."
67299dbda23f7e5639814e6a,"Evaluates a block in ascending order and returns a new block with null values where the input block has no values, and the maximum value otherwise."
67299dbda23f7e5639814e6b,"Schedules snapshot jobs based on the provided cluster state by iterating over all snapshot configurations and potentially scheduling a snapshot for each one."
67299dbda23f7e5639814e6c,"Generates a set of non-contiguous random byte ranges within a specified length."
67299dbda23f7e5639814e6d,"Finishes the current operation by marking all bytes as accounted for and releasing any acquired permits. If there are remaining bytes to be read, it verifies that sufficient permits are available before proceeding."
67299dbda23f7e5639814e6e,"Checks if a given node is safe to shut down, considering factors such as running deployments and pending tasks."
67299dbda23f7e5639814e6f,"Finishes reporting of datafeed timing statistics by flushing the current write request immediately and handling potential interruptions."
67299dbda23f7e5639814e70,"Aborts the current task and isolates the data feed, marking it as locally aborted due to a specified reason."
67299dbda23f7e5639814e71,"Finds the common prefix of a given byte array within a trie-like structure and returns its associated value as an OptionalInt, or an empty OptionalInt if no matching leaf node is found."
67299dbda23f7e5639814e72,"Retrieves the top transaction IDs based on their frequency of occurrence. The number of top transactions returned is equal to the total number of transactions available."
67299dbda23f7e5639814e73,"Returns the top item IDs from the current set of items."
67299dbda23f7e5639814e74,"Returns the log probability of `x` successes given `numberOfTrials` and a binomial distribution with a specified `probabilityOfSuccess`."
67299dbda23f7e5639814e75,"Computes the natural logarithm of a binomial probability, using Stirling's approximation for large values and special cases to avoid underflow."
67299dbda23f7e5639814e76,"Returns true if this instance is the master and its last update time is within the staleness duration from now."
67299dbda23f7e5639814e77,"Returns the memory requirement for an anomaly detector job with the specified jobId."
67299dbda23f7e5639814e78,"Retrieves the memory requirement of a data frame analytics job with the specified id."
67299dbda23f7e5639814e79,"Refreshes the ML memory tracker with the given persistent tasks and notifies the provided completion listener when done."
67299dbda23f7e5639814e7a,"Waits for a flush acknowledgement with the specified ID, returning null if the operation fails or times out."
67299dbda23f7e5639814e7b,"Builds and returns a TimeRange object based on the start and end parameters."
67299dbda23f7e5639814e7c,"Deletes all annotations for the current job and notifies the provided listener with a boolean response."
67299dbda23f7e5639814e7d,"Persists a bucket to the index by creating a copy of the bucket without records and indexing it, then persists any associated bucket influencers as standalone documents."
67299dbda23f7e5639814e7e,"Deletes interim results for a job with the given ID."
67299dbda23f7e5639814e7f,"Flushes any pending writes and notifies the provided listener when complete."
67299dbda23f7e5639814e80,"Tests the bounded tiler inflation for an H3 cell with address '8001fffffffffff' at precision levels 0 and 1."
67299dbda23f7e5639814e81,"Sets the GeoShapeCell value for the specified tile coordinates if they are valid."
67299dbda23f7e5639814e82,* Determines whether the bounding box defined by the given minimum and maximum x and y coordinates intersects with the current object's bounds.
67299dbda23f7e5639814e83,"Relates a point (x, y) to the current geographic shape, determining whether it is disjoint from or intersects with the shape."
67299dbda23f7e5639814e84,"Returns the highest generation number among the given files that match a specific segment file name pattern."
67299dbda23f7e5639814e85,"Skips the final output from the provided DataInput."
67299dbda23f7e5639814e86,"Generates a valid instance name by randomly generating strings until one is found that passes the validation checks performed by `Name.fromUserProvidedName`."
67299dbda23f7e5639814e87,"Creates a user with run-as role using basic authentication headers for the ES test root user."
67299dbda23f7e5639814e88,"Invalidates all tokens for a given realm."
67299dbda23f7e5639814e89,"Returns the part number for a given position within a file, with part numbers starting at 0."
67299dbda23f7e5639814e8a,"Removes a cache entry from the system using the provided CacheKey."
67299dbda23f7e5639814e8b,"Marks the current task as failed with the given exception and failure message."
67299dbda23f7e5639814e8c,"Resolves an expression as root attributes, recursively resolving any references to other expressions or aliases. Returns a set of resolved expressions if the original expression was broken down into smaller components, otherwise returns an empty set."
67299dbda23f7e5639814e8d,"Returns a FieldAttribute instance representing a keyword field with the specified name."
67299dbda23f7e5639814e8e,"Increments the translation metric by one, updating the associated counters and histories as necessary."
67299dbda23f7e5639814e8f,"Parses a date string in the specified format and returns it as a ZonedDateTime object with time set to start of day (00:00) in UTC timezone. The method handles two formats: ISO date with optional time and whitespace separated date components, automatically detecting the presence of 'T' or whitespace separator."
67299dbda23f7e5639814e90,"Prints a message to the output stream with the specified verbosity."
67299dbda23f7e5639814e91,"Converts an IJK coordinate to a geographic LatLng coordinate, given the face and resolution of the H3 index."
67299dbda23f7e5639814e92,"Normalizes the ijk values by subtracting their minimum value from each of them."
67299dbda23f7e5639814e93,"Moves the current position to a neighboring point in 3D space based on the given digit, if it represents a valid direction."
67299dbda23f7e5639814e94,"Converts the current IJK coordinates of a location on a cube face to geographic latitude and longitude at a specified resolution level."
67299dbda23f7e5639814e95,"Returns the number of children at a specified resolution for the given H3 address."
67299dbda23f7e5639814e96,"Returns the number of non-intersecting children for a given H3 address."
67299dbda23f7e5639814e97,"Returns the H3 index of the North Pole at a given resolution."
67299dbda23f7e5639814e98,"Returns the H3 index of the south pole at a given resolution."
67299dbda23f7e5639814e99,"Computes the maximum latitude of a great circle defined by this and another point. If the other point is numerically identical to this one, returns its own latitude; otherwise, delegates to the static version of this method with the points ordered by increasing latitude."
67299dbda23f7e5639814e9a,"Calculates the minimum latitude of a great circle that passes through this location and another given location. If the two locations are numerically identical, returns the latitude of the other location; otherwise, determines which location has a smaller latitude and delegates to the corresponding helper function for the actual calculation."
67299dbda23f7e5639814e9b,"Converts a hexagon cell in the 2D coordinate system to its corresponding geographic coordinates on the surface of the Earth. The conversion takes into account the face, resolution, and whether it is a substrate grid or not."
67299dbda23f7e5639814e9c,"Rotates a hexagon index 60 degrees counter-clockwise while preserving its resolution."
67299dbda23f7e5639814e9d,"Consumes a point defined by the given coordinates (x, y), potentially updating or creating a new point based on internal state and available space."
67299dbda23f7e5639814e9e,"Encodes the given hash string into a compact long representation."
67299dbda23f7e5639814e9f,"Encodes a latitude and longitude into a string representation with the default precision level of 12."
67299dbda23f7e5639814ea0,"Encodes a geographical location specified by longitude and latitude into a geohash string at the given precision level."
67299dbda23f7e5639814ea1,"Tests that the EmbeddedImplClassLoader can load a resource from both its parent and itself when the resource path does not correspond to a package name."
67299dbda23f7e5639814ea2,"Checks the manifest of a jar file to ensure it can be run with the current Java version."
67299dbda23f7e5639814ea3,"Checks if a portion of the `key` array is ordered and correlated with the provided `values`."
67299dbda23f7e5639814ea4,"Sorts the array of keys in ascending order and rearranges the associated values accordingly."
67299dbda23f7e5639814ea5,"Compresses the centroids using the public compression value."
67299dbda23f7e5639814ea6,"Finds the path to the Elastic APM agent jar in the current working directory."
67299dbda23f7e5639814ea7,"Forces the JVM process to stop immediately, destroying it and waiting for its termination."
67299dbda23f7e5639814ea8,"Returns a list of version objects that are compatible with the current index, filtered by supported versions based on the system architecture."
67299dbda23f7e5639814ea9,"Asserts that the given number of tasks in the cluster state are unassigned."
67299dbda23f7e5639814eaa,"Creates a PersistentTasksClusterService instance using the provided function to determine assignment."
67299dbda23f7e5639814eab,"Returns an Optional Error if the given Throwable cause or any of its causes or suppressed throwables is an instance of Error."
67299dbda23f7e5639814eac,"Collects and returns a list of shard data paths from the given array of DataPaths."
67299dbda23f7e5639814ead,"Initializes the builder as a new index based on the provided metadata."
67299dbda23f7e5639814eae,"Cancels the relocation of a shard, updates the list of assigned shards with the cancelled shard and decrements the number of relocating shards."
67299dbda23f7e5639814eaf,"Resolves the given expressions against the provided cluster state."
67299dbda23f7e5639814eb0,"Checks if the provided collection of aliases or indices represents all indices. Returns true if the collection is null, empty, or contains a single element that matches the explicit all pattern."
67299dbda23f7e5639814eb1,"Closes the current instance, waiting up to a specified time for any in-flight requests to complete before terminating."
67299dbda23f7e5639814eb2,"Returns a list of task groups. If the task groups have not been built yet, this method will trigger their construction."
67299dbda23f7e5639814eb3,"Scales down a given value based on whether it has been sampled."
67299dbda23f7e5639814eb4,"Scales up a given value based on whether it has been sampled, returning the original value if not sampled and the scaled-up value otherwise."
67299dbda23f7e5639814eb5,"Encodes a long hash into a string representing the zoom, x-tile, and y-tile coordinates in the format ""zoom/x/y""."
67299dbda23f7e5639814eb6,"Adds an unbounded to range aggregation with the specified key and upper bound."
67299dbda23f7e5639814eb7,"Adds an unbounded from range to the aggregation."
67299dbda23f7e5639814eb8,"Returns a `LeafBucketCollector` for the given `context` and `in`, updating the competitive bounds listener if necessary."
67299dbda23f7e5639814eb9,"Submits the current task to the cluster service, logging a source message indicating whether a migration was successful or not."
67299dbda23f7e5639814eba,"Returns the field value at the specified path as a byte array, throwing an exception if the field is not found or is of an unsupported type."
67299dbda23f7e5639814ebb,"Returns the retention leases without expiring them."
67299dbda23f7e5639814ebc,"Returns the current retention leases without expiring them."
67299dbda23f7e5639814ebd,"Checks if a given string is not null and has at least one character."
67299dbda23f7e5639814ebe,"Returns a Runnable that preserves the context when executed."
67299dbda23f7e5639814ebf,"Fast-forwards the countdown by setting its value to zero and returns true if there was a remaining time, false otherwise."
67299dbda23f7e5639814ec0,"Checks if a given string matches a specified pattern, with optional case insensitivity."
67299dbda23f7e5639814ec1,"Updates dynamic settings by applying the provided settings to the target and updates builders."
67299dbda23f7e5639814ec2,"Formats an InetAddress into a string representation, including its ports range."
67299dbda23f7e5639814ec3,"Closes the specified CloseableChannel, without waiting for the close operation to complete."
67299dbda23f7e5639814ec4,"Creates a CompressedXContent instance from the provided JSON string by parsing it into an XContent structure."
67299dbda23f7e5639814ec5,"Calculates the output network buffer size required for encrypting a given number of plaintext bytes across multiple buffers."
67299dbda23f7e5639814ec6,"Calculates the required output buffer space for encryption operations based on the number of plaintext bytes and buffers."
67299dbda23f7e5639814ec7,"Converts a byte array to an IP address string."
67299dbda23f7e5639814ec8,"Returns a sub-sequence of the current AsciiString, starting at the specified start index and ending at the specified end index."
67299dbda23f7e5639814ec9,"Tests whether the specified region of this sequence matches the specified region of a given CharSequence."
67299dbda23f7e5639814eca,"Returns the next positive power of two that is greater than or equal to the given value."
67299dbda23f7e5639814ecb,"Returns a pseudorandom, uniformly distributed `long` value between the specified least and bound values (inclusive)."
67299dbda23f7e5639814ecc,"Formats a message using the specified pattern and argument."
67299dbda23f7e5639814ecd,"Creates a new `ByteBuf` instance containing the provided integer values, stored in little-endian byte order. If no values are provided or if the input array is null, an empty buffer is returned."
67299dbda23f7e5639814ece,"Calculates the CRC32C checksum of a given ByteBuf."
67299dbda23f7e5639814ecf,"Writes a unary representation of the given integer value to the provided ByteBuf, where `value` number of true booleans are written followed by a single false boolean."
67299dbda23f7e5639814ed0,"Signals the end of encoding and writes the footer to the channel."
67299dbda23f7e5639814ed1,"Updates the CRC (Cyclic Redundancy Check) value with a given integer for a specified number of times."
67299dbda23f7e5639814ed2,"Validates a header value against the field-content rule as specified in RFC 7230."
67299dbda23f7e5639814ed3,"Returns the number of whitespace bytes to skip from the specified start index in the given byte array."
67299dbda23f7e5639814ed4,"Checks if a secret store exists based on the provided secure configuration."
67299dbda23f7e5639814ed5,"Checks if the current writer is stale based on the flush interval."
67299dbda23f7e5639814ed6,"Returns a collection of common input settings combined with the provided plugin configuration settings."
67299dbda23f7e5639814ed7,"Simplified wrapper for parseCheck that assumes the expected string form of the AST is identical to the input expression."
67299dbda23f7e5639814ed8,"Checks if the provided request origin is allowed based on the given CORS configuration."
67299dbda23f7e5639814ed9,"Encodes the given string as a URI component using the specified charset."
67299dbda23f7e5639814eda,"Decodes and cleans a given URI string by removing semicolon content, decoding the request string based on the `urlDecode` flag, and sanitizing the path to remove consecutive slashes."
67299dbda23f7e5639814edb,"Returns a fallback time zone if available, otherwise null."
67299dbda23f7e5639814edc,"Determines whether the target class of the given bean should be proxied."
67299dbda23f7e5639814edd,"Sets the argument names for this advice from a comma-delimited string."
67299dbda23f7e5639814ede,"Sets the text content of this message to the specified string, treating it as plain text."
67299dbda23f7e5639814edf,"Returns a connection to the database. If thread-bound credentials are available, they will be used; otherwise, the globally configured username and password will be used."
67299dbda23f7e5639814ee0,"Skips all end-of-line characters (`\n` or `\r\n`) from the beginning of the provided `ByteBuffer`."
67299dbda23f7e5639814ee1,"Connects to a STOMP endpoint asynchronously using the provided session handler."
67299dbda23f7e5639814ee2,"Returns the time zone of the current locale context."
67299dbda23f7e5639814ee3,"Retrieves the current JTA transaction for this platform transaction manager."
67299dbda23f7e5639814ee4,"Checks for memory leaks immediately, blocking until no leaks are detected or the default timeout is reached."
67299dbda23f7e5639814ee5,"Increments the current indentation level and returns the updated IndentingWriter."
67299dbda23f7e5639814ee6,"Checks if the given enum array contains an enum value whose string representation matches the specified constant."
67299dbda23f7e5639814ee7,"Returns the index of the start of a comment in the given line, advancing past the comment token if found."
67299dbda23f7e5639814ee8,"Finds the best matching locale for a given language, checking first if the exact locale is supported by the app and returning it if so; otherwise, returns the best system locale match."
67299dbda23f7e5639814ee9,"Cancels a notification with the given ID, using conversation support if available on the device.*"
67299dbda23f7e5639814eea,"Returns the yaw rotation in radians around the Y axis. The result is determined based on the gimbal pole and uses an atan2 function for calculation, with a special case handling for gimbal lock conditions where the pitch is near 90 degrees (gimbal pole equals to 1). If the gimbal pole is not zero, it returns 0f."
