_id,Summary
67299dbda23f7e5639814e0e,Tests the internal HTTP request handling by verifying that the generated requests match the expected requests for various HTTP methods.
67299dbda23f7e5639814e0f,Handles a definitive failure by tracking the exception and notifying the response listener of the failure.
67299dbda23f7e5639814e10,Tracks a failure by adding the given exception to the list of suppressed exceptions and updating the current exception.
67299dbda23f7e5639814e11,Overrides the method to configure the REST client settings with basic authentication credentials.
67299dbda23f7e5639814e12,"Executes the provided script and returns the result."
67299dbda23f7e5639814e13,Runs a container using the specified distribution and returns the resulting installation.
67299dbda23f7e5639814e14,Runs a Docker container for the specified Elasticsearch distribution and returns the installation details.
67299dbda23f7e5639814e15,Creates an iterable of parameter arrays using the provided NamedXContentRegistry.
67299dbda23f7e5639814e16,Starts initializing shards on the specified routing node and triggers a reroute of the cluster state.
67299dbda23f7e5639814e17,"Initiates a connection to the specified discovery node using the provided transport service."
67299dbda23f7e5639814e18,"Stops a random data node if available and returns true; otherwise, returns false."
67299dbda23f7e5639814e19,Sets up a mock `TransportService` using a mocked `ThreadPool` with a thread pool executor.
67299dbda23f7e5639814e1a,"Rewrites the given query using the provided shard rewrite context and ensures the rewritten query is serializable."
67299dbda23f7e5639814e1b,"Executes the provided code block, retrying until it completes successfully or a timeout occurs."
67299dbda23f7e5639814e1c,"Returns a string representation of the port range allocated for a worker."
67299dbda23f7e5639814e1d,"Generates a FIPS-compliant SecureRandom instance using a specified byte array length."
67299dbda23f7e5639814e1e,Creates an index with the specified name using default settings.
67299dbda23f7e5639814e1f,Adds an unresponsive rule for each transport address extracted from the given transport service for the specified duration.
67299dbda23f7e5639814e20,"Ensures that the test cluster is in a healthy state by verifying that there are no active disruptions, the node count is correct, and the cluster is fully connected."
67299dbda23f7e5639814e21,Waits for all pending tasks to complete using the provided RestClient.
67299dbda23f7e5639814e22,Resets the feature states if supported by the cluster and certain conditions are met.
67299dbda23f7e5639814e23,Returns the default client settings for the REST admin interface.
67299dbda23f7e5639814e24,Updates the cluster settings using the provided settings object.
67299dbda23f7e5639814e25,Dispatches a REST request using a fake channel and manages the thread context and response lifecycle.
67299dbda23f7e5639814e26,"Looks up a binary operation method handle for the specified classes and operation name."
67299dbda23f7e5639814e27,"Determines the appropriate index normalization method handle for a given class, supporting arrays, maps, and lists."
67299dbda23f7e5639814e28,Finds and returns a result by applying a specified function to elements of a given collection.
67299dbda23f7e5639814e29,"Checks the provided user expression node within the given semantic scope for specific decorations and throws exceptions if certain conditions are met, ensuring the node is valid and has the required value type."
67299dbda23f7e5639814e2a,Adds a specified value to the additional fields map if the property is present and the value is non-empty.
67299dbda23f7e5639814e2b,Sets whether unmapped fields should be ignored in the query.
67299dbda23f7e5639814e2c,Tests the encoding and decoding process of a scaled float to ensure that the original value is preserved after encoding and decoding operations.
67299dbda23f7e5639814e2d,Stops the APM server and releases the instance resources.
67299dbda23f7e5639814e2e,"Deletes the specified path with retry logic, throwing an IOException if interrupted."
67299dbda23f7e5639814e2f,"Synchronizes the contents of the source directory with the destination directory by creating hard links."
67299dbda23f7e5639814e30,Registers a client with randomly generated credentials and redirect URI for testing purposes.
67299dbda23f7e5639814e31,"Pauses the execution of tasks, logging the reason and the number of cancelled queued tasks."
67299dbda23f7e5639814e32,Clears the allocation IDs by setting the shard routings to an empty list and returns whether any IDs were cleared.
67299dbda23f7e5639814e33,"Handles the post-indexing operation for a document, logging a debug message if the document is a watch and an exception occurs."
67299dbda23f7e5639814e34,Overrides the preDelete method to remove a watch from the trigger service if the document is identified as a watch document.
67299dbda23f7e5639814e35,Filters and returns a new `Settings` object containing only the settings that are allowed to be set.
67299dbda23f7e5639814e36,"Attempts to register a new execution with the specified ID, ensuring thread safety and checking if the executions are sealed."
67299dbda23f7e5639814e37,"Pauses the current execution and clears the queue, notifying the provided listener upon completion."
67299dbda23f7e5639814e38,"Clears all pending executions in the queue and invokes the specified listener upon completion, returning the number of tasks that were cancelled."
67299dbda23f7e5639814e39,Creates and returns a tuple containing lists of triggered watches and their corresponding execution contexts based on the provided trigger events.
67299dbda23f7e5639814e3a,Clears the current executions and invokes the provided listener once all executions have stopped.
67299dbda23f7e5639814e3b,"Retrieves the concrete index metadata for a given index name from the provided metadata, handling alias scenarios and ensuring a valid write index is present when necessary."
67299dbda23f7e5639814e3c,"Checks the given time against the scheduled time and updates the scheduled time if necessary."
67299dbda23f7e5639814e3d,"Removes an entry from the provided map by its key and returns it as the specified type, throwing an exception if the type does not match."
67299dbda23f7e5639814e3e,"Moves the model identifier from the task settings to the service settings, ensuring the service settings are updated only if they do not already contain a model identifier."
67299dbda23f7e5639814e3f,Parses the given XContentParser to position it at the token immediately following the specified field name.
67299dbda23f7e5639814e40,Calculates the time required to reserve a specified number of tokens.
67299dbda23f7e5639814e41,Reserves a specified number of tokens and returns the time value associated with the reservation in microseconds.
67299dbda23f7e5639814e42,Tests that the shard status is complete on non-data nodes after a node shutdown and restart process.
67299dbda23f7e5639814e43,Synchronously renews a retention lease for a specified leader shard and returns an Optional containing a RetentionLeaseNotFoundException if the lease is not found.
67299dbda23f7e5639814e44,Validates that the leader and follower index settings are identical after filtering out settings that are allowed to differ.
67299dbda23f7e5639814e45,"Returns a sublist of the given list based on specified offset and limit conditions, handling cases of null or empty lists, and reversing the list if the limit is negative."
67299dbda23f7e5639814e46,"Determines if there are any candidates following the specified stage."
67299dbda23f7e5639814e47,"Extracts a substring from the given string that is located between two specified substrings, with options for greedy matching and case insensitivity."
67299dbda23f7e5639814e48,Marks an error encountered during the retrieval of a policy for a specified index by logging the error and recording it in the step information for the index.
67299dbda23f7e5639814e49,Queues an ILM history item for asynchronous indexing if ILM history recording is enabled.
67299dbda23f7e5639814e4a,Finds the best rollup jobs from a given set of job capabilities based on the provided aggregation source.
67299dbda23f7e5639814e4b,"Freezes the current time of the ClockMock instance to the current instant."
67299dbda23f7e5639814e4c,"Unfreezes the clock, resetting it to the current system time in the specified time zone."
67299dbda23f7e5639814e4d,Fast-forwards the current time by a specified number of seconds.
67299dbda23f7e5639814e4e,Rewinds the current time by a specified number of seconds.
67299dbda23f7e5639814e4f,Determines if the current status is active.
67299dbda23f7e5639814e50,"Checks if tracking is allowed for the given license state and context, and starts tracking if permitted."
67299dbda23f7e5639814e51,Checks if the current operation is permitted without tracking the usage.
67299dbda23f7e5639814e52,Updates the last checked timestamp and conditionally updates the last met condition timestamp or resets the acknowledgment status of actions based on the provided condition.
67299dbda23f7e5639814e53,Creates a prepared rounding instance using the specified interval and time zone.
67299dbda23f7e5639814e54,Checks if the given expression is valid by attempting to validate it.
67299dbda23f7e5639814e55,"Creates a response by indexing the document with the specified ID and headers, and notifies the provided listener upon completion."
67299dbda23f7e5639814e56,Retrieves the response for a given asynchronous execution ID and notifies the listener with the result.
67299dbda23f7e5639814e57,Sets the internal user for authentication using the specified transport version and node name.
67299dbda23f7e5639814e58,Checks if the specified action is permitted based on the group's privileges and mapping update conditions.
67299dbda23f7e5639814e59,Validates the given application name using default settings.
67299dbda23f7e5639814e5a,Verifies if the provided data matches the given hash using a resolved hasher.
67299dbda23f7e5639814e5b,Writes the encoded authentication information to the provided thread context.
67299dbda23f7e5639814e5c,"Generates a salt string for use with password hashing, using the specified number of log rounds to determine the computational cost."
67299dbda23f7e5639814e5d,Generates a salt string using the default log2 rounds.
67299dbda23f7e5639814e5e,Determines if the alignment of checkpoints is disabled based on the provided settings configuration.
67299dbda23f7e5639814e5f,"Creates a BitSet mask indicating which fields across all rows are considered ""short"" based on a specified length threshold."
67299dbda23f7e5639814e60,"Compares two rows of strings field by field using the Levenshtein distance."
67299dbda23f7e5639814e61,Calculates and returns an array of weights representing the likelihood of each matched format being the correct one based on the provided timestamp matches.
67299dbda23f7e5639814e62,Determines if a given sample can be considered text based on the presence of newlines and a minimum number of non-blank lines.
67299dbda23f7e5639814e63,"Replaces matching expressions in the target list with new expressions generated by the replacer function, returning true if any modifications were made."
67299dbda23f7e5639814e64,"Combines a list of query builders using the specified clause, returning a single query builder that represents the combined queries."
67299dbda23f7e5639814e65,"Converts an unsigned long value to a Number, handling negative values using two's complement."
67299dbda23f7e5639814e66,Counts the number of consecutive coordinates from the end of the array that match the first coordinate.
67299dbda23f7e5639814e67,"Adjusts the circuit breaker by the specified delta, potentially tripping it if the delta is positive."
67299dbda23f7e5639814e68,"Calculates the median value of a block of integers, handling both even and odd counts."
67299dbda23f7e5639814e69,Determines if the specified rounding configuration can produce a sequence of rounding values within a given range.
67299dbda23f7e5639814e6a,"Evaluates an ascending nullable block by selecting specific integer values based on their position and appends them to a new block, handling null values appropriately."
67299dbda23f7e5639814e6b,Schedules snapshot jobs based on the current cluster state if snapshot lifecycle metadata is available.
67299dbda23f7e5639814e6c,"Generates a sorted set of non-contiguous, non-empty random byte ranges within a specified length."
67299dbda23f7e5639814e6d,Finishes processing by marking the specified number of bytes as read and releasing all permits.
67299dbda23f7e5639814e6e,Determines if a node with the specified ID is safe to shut down based on the current cluster state and shutdown timing information.
67299dbda23f7e5639814e6f,"Finishes the reporting process by flushing data with an immediate refresh policy, handling any interruptions that occur."
