_id,Summary
67299dbda23f7e5639814e0e,Test that the internal HTTP request is correctly built and executed .
67299dbda23f7e5639814e0f,Not available.
67299dbda23f7e5639814e10,Tracks the failure by adding the exception to the suppressed exceptions list and setting it as the main exception if it is not already set.
67299dbda23f7e5639814e11,Returns the settings for the rest client with basic authentication using the admin user and the default password .
67299dbda23f7e5639814e12,Runs a script and returns the result.
67299dbda23f7e5639814e13,Runs a container with the given distribution and DockerRun configuration.
67299dbda23f7e5639814e14,"Run a container using the given distribution and builder, and return an Installation object representing the container."
67299dbda23f7e5639814e15,Create parameters for the test suite.
67299dbda23f7e5639814e16,Starts initializing shards and reroutes them to the given routing node.
67299dbda23f7e5639814e17,Connects to a given node using the provided transport service.
67299dbda23f7e5639814e18,Stops a random data node in the cluster.
67299dbda23f7e5639814e19,Sets up a mock TransportService with a mock ThreadPool and returns the mock TransportService.
67299dbda23f7e5639814e1a,Rewrites the given query using the provided shard rewrite context and ensures that the rewritten query is serializable.
67299dbda23f7e5639814e1b,Executes the given code block repeatedly until it either succeeds or the timeout is reached.
67299dbda23f7e5639814e1c,Returns the range of ports used by the worker nodes.
67299dbda23f7e5639814e1d,Returns a SecureRandom instance using the FIPS algorithm.
67299dbda23f7e5639814e1e,Creates an index with the given name and default settings.
67299dbda23f7e5639814e1f,Adds a rule that will make the transport service unresponsive for the given duration when trying to connect to the specified transport address. This is useful for simulating network failures during testing.
67299dbda23f7e5639814e20,Ensures that the cluster is in a healthy state before starting a network disruption. This method checks for active disruptions and ensures that the cluster has the correct number of nodes and is fully connected.
67299dbda23f7e5639814e21,Waits for all pending tasks to complete on the given rest client.
67299dbda23f7e5639814e22,"Resets the feature states for the current cluster, if supported."
67299dbda23f7e5639814e23,Returns the settings for the REST client used for administrative requests.
67299dbda23f7e5639814e24,Updates the cluster settings using the given settings object.
67299dbda23f7e5639814e25,Dispatches the given request to the controller and verifies the response .
67299dbda23f7e5639814e26,Looks up a binary method handle for the given classes and name.
67299dbda23f7e5639814e27,Returns a MethodHandle that can be used to normalize an index into a list or map.
67299dbda23f7e5639814e28,Finds the result of applying a function to each element in a collection.
67299dbda23f7e5639814e29,Checks the user expression node for errors and throws exceptions if necessary
67299dbda23f7e5639814e2a,Add additional field to the map if the property is contained in the list and the value is not empty.
67299dbda23f7e5639814e2b,Specifies whether to ignore unmapped fields when executing the query.
67299dbda23f7e5639814e2c,Test the decode and encode functions for the ScaledFloatFieldMapper class.
67299dbda23f7e5639814e2d,Stop the APM server instance.
67299dbda23f7e5639814e2e,"Deletes the given path, retrying if necessary."
67299dbda23f7e5639814e2f,Syncs the source directory with the destination directory using hard links.
67299dbda23f7e5639814e30,"Register a client with the given clientId, clientSecret and redirectUri."
67299dbda23f7e5639814e31,"Pauses the execution of the watch, cancelling any queued tasks."
67299dbda23f7e5639814e32,Clears the allocation ids and returns true if there were any previous ids.
67299dbda23f7e5639814e33,Called after an index operation has completed.
67299dbda23f7e5639814e34,Called before a delete is executed on the engine.
67299dbda23f7e5639814e35,Filters out any settings that are not allowed to be set by the user.
67299dbda23f7e5639814e36,"Registers a new execution with the given id and execution object. Returns true if the execution was successfully registered, false if an execution with the same id already exists."
67299dbda23f7e5639814e37,"Pauses the execution service and clears any pending executions, returning the number of cleared executions."
67299dbda23f7e5639814e38,"Clears all executions and the queue, and returns the number of cancelled tasks."
67299dbda23f7e5639814e39,Creates triggered watches and contexts from the given events.
67299dbda23f7e5639814e3a,Clears all executions and waits for them to stop.
67299dbda23f7e5639814e3b,"Returns the concrete index for the given index name, or null if the index does not exist ."
67299dbda23f7e5639814e3c,Checks if the given time is after the scheduled time and returns the previous scheduled time if it is.
67299dbda23f7e5639814e3d,"Removes the value associated with the given key from the map and returns it as the specified type. If the value cannot be cast to the specified type, an exception is thrown."
67299dbda23f7e5639814e3e,Moves the model ID from the task settings to the service settings if it is not already present in the service settings.
67299dbda23f7e5639814e3f,"Positions the parser at the next token after the specified field. If the field is not found, an exception is thrown."
67299dbda23f7e5639814e40,Calculates the time to reserve for the given number of tokens.
67299dbda23f7e5639814e41,Reserve the specified number of tokens and return the time value for the reservation.
67299dbda23f7e5639814e42,Test that the shard status is complete when a node is shut down on non-data nodes.
67299dbda23f7e5639814e43,Syncronously renews the retention lease on the leader shard.
67299dbda23f7e5639814e44,Validates that the leader and follower index settings are identical .
67299dbda23f7e5639814e45,"Returns a view of the given list based on the specified limit and offset values. If the limit is negative, the list is reversed before applying the limit. If the size of the list is greater than or equal to the total limit, the sublist from the offset to the total limit is returned. If the size of the list is smaller than the absolute value of the limit, the entire list is returned. Otherwise, the sublist from the end of the list to the absolute value of the limit is returned."
67299dbda23f7e5639814e46,Checks if there are any following candidates for the given stage.
67299dbda23f7e5639814e47,"Returns the substring between the first occurrence of left and the last occurrence of right in the given string, or an empty string if either left or right is not found."
67299dbda23f7e5639814e48,"Records an error in retrieving a policy for an index, and sets the step info for the index to reflect the error."
67299dbda23f7e5639814e49,"Adds an ILM history item to the index asynchronously. If ILM history is not enabled, the item will not be recorded."
67299dbda23f7e5639814e4a,"Finds the best jobs for the given source and set of job capabilities. There is an opportunity to optimize the returned caps to find the minimal set of required caps. For example, one leaf may have equally good jobs [A,B], while another leaf finds only job [B] to be best. If job A is a subset of job B, we could simply search job B in isolation and get the same results. We can't do that today, because we don't (yet) have way of determining if one job is a sub/super set of another."
67299dbda23f7e5639814e4b,Freezes the clock at the current time.
67299dbda23f7e5639814e4c,Unfreezes the clock by resetting it to the system clock with the current time zone.
67299dbda23f7e5639814e4d,Fast forwards the clock by the specified number of seconds.
67299dbda23f7e5639814e4e,Rewinds the clock by the specified number of seconds.
67299dbda23f7e5639814e4f,Checks if the license is currently active by checking against the status of the license.
67299dbda23f7e5639814e50,"Checks if the given state is allowed and starts tracking if it is. Returns true if the state is allowed, false otherwise."
67299dbda23f7e5639814e51,Checks if the given XPackLicenseState allows this feature without tracking its usage.
67299dbda23f7e5639814e52,Updates the last checked and last met condition timestamps and resets the acknowledgement status for all actions if the condition is not met.
67299dbda23f7e5639814e53,Creates a rounding object for the date histogram group config.
67299dbda23f7e5639814e54,Tests whether the given expression is a valid cron expression.
67299dbda23f7e5639814e55,"Create a response for the given document ID, headers, and response object, and pass it to the given listener."
67299dbda23f7e5639814e56,"Get the response for the given async execution id, optionally restoring the response headers."
67299dbda23f7e5639814e57,"Sets the internal user for the security context, using the provided internal user and transport version."
67299dbda23f7e5639814e58,"Checks if the given action is allowed for any of the groups in the list. If the action is a mapping update action, also checks if any of the groups have a privilege that grants mapping updates for BWC."
