_id,HelpComSummary
67299dbda23f7e5639814e0e,"Tests internal HTTP requests by executing a series of random requests using different HTTP methods and verifying that the expected request matches the actual request generated by the `HttpAsyncRequestProducer`. The test checks for matching URI, class type, headers, and entity (if applicable)."
67299dbda23f7e5639814e0f,"Handles a definitive failure by tracking the exception and notifying the response listener of the failure."
67299dbda23f7e5639814e10,"Tracks a failure by adding the previous exception as a suppressed exception to the new one and updates the current exception."
67299dbda23f7e5639814e11,"Returns the settings for a REST client with basic authentication enabled."
67299dbda23f7e5639814e12,"Executes a script and returns the result, handling differences in command syntax between Windows (using PowerShell) and other platforms (using Bash)."
67299dbda23f7e5639814e13,"Runs a container for the given Distribution with default DockerRun configuration."
67299dbda23f7e5639814e14,"Runs an Elasticsearch container using the provided distribution and DockerRun configuration, waits for it to start, and returns an Installation instance representing the running container."
67299dbda23f7e5639814e15,"Creates an iterable of parameters using the provided NamedXContentRegistry. This method delegates to another overload with a null value for the additional parameters."
67299dbda23f7e5639814e16,"Starts initializing shards and rerouting for the given cluster state, focusing on the shards of the provided routing node that are in an initializing state."
67299dbda23f7e5639814e17,"Connects to a discovery node using the provided transport service."
67299dbda23f7e5639814e18,"Stops a random data node and returns true if successful, or false if no nodes are available."
67299dbda23f7e5639814e19,"Sets up a mock TransportService with a ThreadPoolExecutor, configuring it to return a direct executor for thread pool operations."
67299dbda23f7e5639814e1a,"Rewrites a query using the provided search execution context and returns the rewritten query."
67299dbda23f7e5639814e1b,"Asserts that the given code block is busy by attempting to execute it with an exponential backoff strategy, waiting up to 10 seconds for completion."
67299dbda23f7e5639814e1c,"Returns the range of ports assigned to the current worker as a string in the format 'firstPort-lastPort'."
67299dbda23f7e5639814e1d,"Returns a SecureRandom instance seeded for FIPS compliance, utilizing a randomly generated 32-byte seed."
67299dbda23f7e5639814e1e,"Creates an index service with default settings."
67299dbda23f7e5639814e1f,"Adds an unresponsive rule to all transport addresses associated with the provided TransportService for a specified duration."
67299dbda23f7e5639814e20,"Ensures the given test cluster is healthy by verifying its node count and connectivity."
67299dbda23f7e5639814e21,"Waits for any pending tasks to complete on the provided RestClient instance, with a default filter that ignores all tasks."
67299dbda23f7e5639814e22,"Determines whether the feature states can be reset based on cluster capabilities and machine learning status."
67299dbda23f7e5639814e23,"Returns the default REST admin settings, which currently defaults to the same client settings."
67299dbda23f7e5639814e24,"Updates the cluster settings."
67299dbda23f7e5639814e25,"Dispatches a REST request to the controller, capturing and releasing any response generated by the controller."
67299dbda23f7e5639814e26,"Looks up a binary method handle for the specified operation between two classes."
67299dbda23f7e5639814e27,"Looks up and returns a MethodHandle for normalizing an index based on the provided receiver class, which must be an array-like type."
67299dbda23f7e5639814e28,"Finds the first non-null result of applying a given function to each element in a collection, returning null if all results are null."
67299dbda23f7e5639814e29,"Visits the given expression node and checks if it resolves to a valid value within the provided semantic scope. If the resolution fails due to an unresolved symbol, unexpected type, or lack of a value, throws an `IllegalArgumentException` or `IllegalStateException` accordingly."
67299dbda23f7e5639814e2a,"Adds an additional field to the map if the specified property exists and the value is not empty."
67299dbda23f7e5639814e2b,"Sets whether unmapped fields should be ignored."
67299dbda23f7e5639814e2c,"Tests the correctness of the `ScaledFloatFieldMapper.decodeForSyntheticSource` and `ScaledFloatFieldMapper.encode` methods by verifying that encoding a decoded synthetic source value with a randomly generated scaling factor results in the original encoded value."
67299dbda23f7e5639814e2d,"Stops the APM server, logging a lifecycle message and releasing the instance reference."
67299dbda23f7e5639814e2e,"Deletes the file at the specified path, retrying up to a certain number of times if an error occurs."
67299dbda23f7e5639814e2f,"Synchronizes the files and directories in the source root with the destination root, creating hard links for files instead of copying them."
67299dbda23f7e5639814e30,"Registers a test client with the OpenID Connect provider."
67299dbda23f7e5639814e31,"Pauses the execution and logs the reason for pausing."
67299dbda23f7e5639814e32,"Clears the allocation IDs and returns whether any IDs were previously set."
67299dbda23f7e5639814e33,"Notifies the caller about a failed indexing operation for a watch document and logs the exception if the index is configured to be watched."
67299dbda23f7e5639814e34,"Pre-delete hook that removes a watch document from the trigger service if the index being deleted is a watched index."
67299dbda23f7e5639814e35,"Filters the given settings to only include settable settings as defined by `UpdateWatcherSettingsAction.ALLOWED_SETTING_KEYS`."
67299dbda23f7e5639814e36,"Registers a new execution with the given id and returns true if the registration was successful (i.e., no execution with the same id existed), or false otherwise. Throws an exception if executions are sealed."
67299dbda23f7e5639814e37,"Pauses the execution and clears the queue, returning the number of tasks that were cancelled. A listener is notified when the executions are stopped."
67299dbda23f7e5639814e38,"Clears the current executions and the task queue, cancelling any pending tasks. The provided `stoppedListener` is notified when all previously running executions have stopped. Returns the number of tasks that were cancelled from the queue."
67299dbda23f7e5639814e39,"Creates triggered watches and execution contexts based on the provided trigger events. Returns a tuple containing lists of triggered watches and their corresponding execution contexts."
67299dbda23f7e5639814e3a,"Clears the current executions and executes a listener when all stopped."
67299dbda23f7e5639814e3b,"Returns the concrete index metadata for a given index name from the provided metadata, handling aliases and selecting the most suitable concrete index based on its type and configuration."
67299dbda23f7e5639814e3c,"Checks the given time against a scheduled time and returns the previously scheduled time, updating the current scheduled time to the next occurrence after the provided time. Returns -1 if the provided time is before the last scheduled time."
